coluna,count,mean,std,min,25%,50%,75%,max
id_evento_producao,1156.0,2307484.9585,394.2131,2306897.0,2307185.75,2307474.5,2307763.25,2311505.0
quantidade_produzida,1156.0,440.3003,351.0543,0.0,0.0,510.35,716.675,1390.11
id_evento_turno,1156.0,7690.6678,5.0432,7681.0,7692.0,7693.0,7694.0,7694.0
oee,1156.0,26.7371,33.3459,0.09,0.53,10.645,44.2525,125.21
produtividade,1156.0,44.0657,37.1038,2.73,8.98,34.105,69.87,138.69
qualidade,1156.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
taxa_producao,1156.0,4.3867,2.9873,0.0,1.3,4.9,7.2,12.0
tempo_rodando_segundo,1156.0,210.4671,137.3319,0.0,0.0,300.0,300.0,300.0
qtd_batelada,1156.0,1.6592,1.2892,0.0,0.0,2.0,3.0,5.0
id_evento_turno_atual,1156.0,7690.6678,5.0432,7681.0,7692.0,7693.0,7694.0,7694.0
id_turno_estatico,1156.0,3.9896,0.8175,3.0,3.0,4.0,5.0,5.0
